,GME,GME,GME,GME,GME,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2021-03-29 00:00:00-04:00,180.6,193.92,173.51,181.08,9588129,615.64,616.48,596.02,611.51,27284659
2021-03-30 00:00:00-04:00,187.5,204.3,182.0,193.98,16227358,601.87,637.66,591.01,635.925,37484578
2021-03-31 00:00:00-04:00,197.74,199.46,187.1102,190.2,7924162,646.24,672.0,641.11,668.06,31051129
2021-04-01 00:00:00-04:00,193.54,196.969,183.6,190.6,8992984,688.37,692.4203,659.42,661.33,33560457
2021-04-05 00:00:00-04:00,171.28,195.0,164.81,186.1239,12245318,707.99,708.16,684.7,691.0,38597435
2021-04-06 00:00:00-04:00,185.61,192.0,183.56,184.4,5861231,690.44,696.55,681.37,691.44,27094999
2021-04-07 00:00:00-04:00,183.4,184.4999,176.11,177.73,4429913,687.0,691.38,667.84,671.03,25229548
2021-04-08 00:00:00-04:00,185.86,185.88,164.3,170.24,9077021,677.38,689.5499,671.645,683.77,22310546
2021-04-09 00:00:00-04:00,169.9,171.58,153.0,158.32,9196674,677.77,680.97,669.43,677.02,20359010
2021-04-12 00:00:00-04:00,158.1,163.9,135.01,141.07,16290274,685.72,704.8,682.09,701.63,27539935
2021-04-13 00:00:00-04:00,141.85,145.3771,132.0,140.72,6436582,712.56,763.0,710.66,762.35,42476139
