,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-04-28 00:00:00-04:00,285.08,285.83,278.2,278.57,24567863,2372.1,2373.5,2306.0,2314.08,4643171,285400.0,286479.9,280600.0,280660.0,585,175.59,175.67,169.39,169.79,29678984
2020-04-29 00:00:00-04:00,284.73,289.67,283.89,287.83,57520384,2330.01,2391.89,2310.0,2371.88,7930384,286400.0,288888.0,283800.0,283800.0,762,173.22,177.68,171.88,177.3,39984236
2020-04-30 00:00:00-04:00,289.96,294.53,288.35,293.99,34380486,2419.84,2471.5,2396.01,2471.5,6873149,283200.0,284452.5,280280.0,280891.0,495,180.0,180.4,176.23,179.22,89953339
2020-05-01 00:00:00-04:00,286.25,299.0,285.85,289.07,112571771,2336.8,2362.44,2258.1902,2285.94,18176321,278121.0,278710.0,272520.0,274152.0,573,175.8,178.64,174.01,174.5,33950716
2020-05-04 00:00:00-04:00,289.17,293.69,286.3172,293.17,31026388,2256.38,2326.98,2256.38,2315.99,4478248,270000.0,270000.0,265000.0,267400.0,607,174.49,179.0,173.8,178.84,53648238
2020-05-05 00:00:00-04:00,295.06,301.0,294.46,297.78,68730265,2340.0,2351.0,2307.125,2317.64,5909618,269999.0,270000.0,264307.25,264500.0,456,180.62,183.65,179.9,180.76,33345354
2020-05-06 00:00:00-04:00,300.46,303.24,298.87,300.5,33168366,2329.44,2357.45,2320.0,2350.97,2897787,265000.0,266400.0,259230.0,259233.84,514,182.08,184.2,181.6306,182.49,58901458
2020-05-07 00:00:00-04:00,303.22,305.17,301.97,303.75,52106578,2374.78,2376.0,2343.11,2367.61,5882764,260110.0,263710.0,260110.0,260600.0,381,184.17,186.5,182.58,183.6078,48490207
2020-05-08 00:00:00-04:00,305.64,310.29,304.29,310.1484,30509246,2372.14,2387.2449,2357.0,2379.5,2751843,264565.94,266105.0,261990.0,265160.0,301,184.9797,185.0,183.36,184.68,25074514
2020-05-11 00:00:00-04:00,308.1,317.05,307.24,315.005,34252219,2374.7,2419.665,2372.11,2406.9375,2942003,264320.0,264397.75,260901.0,262215.0,450,183.15,187.51,182.85,186.65,50846893
2020-05-12 00:00:00-04:00,317.83,319.688,310.91,311.51,72568708,2411.85,2419.0,2355.61,2357.505,5466390,262701.0,263800.0,260000.0,260000.0,305,186.8,187.04,182.35,182.38,25981524
2020-05-13 00:00:00-04:00,312.15,315.95,303.21,307.68,46896514,2366.8,2407.7,2337.805,2366.17,4474923,259499.0,259499.0,255000.0,256070.0,586,182.55,184.05,176.54,179.78,77983499
2020-05-14 00:00:00-04:00,304.51,309.79,301.53,309.7,36192573,2361.01,2391.37,2353.21,2391.37,3179099,254000.0,257261.98,250926.02,256160.02,399,177.54,180.69,175.68,180.61,67951569
2020-05-15 00:00:00-04:00,300.35,307.9,300.21,307.74,38430814,2368.52,2411.0,2356.37,2410.41,3788139,254585.95,256100.0,252801.23,253905.0,263,179.06,187.06,177.0,183.39,73296528
2020-05-18 00:00:00-04:00,313.17,316.5,310.3241,314.89,58756477,2404.3457,2433.0,2384.01,2426.38,8093054,260000.0,265002.0,258510.55,263205.0,618,185.75,186.2,183.96,184.9,30231512
2020-05-19 00:00:00-04:00,315.03,318.52,313.01,313.01,23453139,2429.83,2484.995,2428.97,2448.59,4098905,260800.0,262200.0,258700.0,258700.0,289,185.03,186.59,183.49,183.5,23888140
2020-05-20 00:00:00-04:00,316.68,319.52,316.2,319.16,49657449,2477.87,2500.01,2467.27,2497.35,7341200,261880.0,265130.0,261500.0,264100.0,256,184.81,185.85,183.94,185.66,51732326
