,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-17,5002.578125,5371.348633,4981.90918,5225.629395,5225.629395,38622642935.0,2020-03-17,110.406784,118.988281,110.406784,113.94274899999999,113.94274899999999,12087490572.0
1,2020-03-18,5227.11377,5331.833984000001,5069.335938,5238.438477000001,5238.438477000001,37878801016.0,2020-03-18,113.857643,116.021622,111.74311100000001,114.84227,114.84227,11617854009.0
2,2020-03-19,5245.416504,6329.73584,5236.96875,6191.192871,6191.192871,51000731797.0,2020-03-19,114.839828,140.527725,114.73286399999999,136.593857,136.593857,16396753275.0
3,2020-03-20,6191.653809,6844.261719,5865.781738000001,6198.77832,6198.77832,54442976103.0,2020-03-20,136.649277,150.853806,122.605659,132.737167,132.737167,18960388062.0
4,2020-03-21,6206.521484000001,6378.135254,5932.823242,6185.066406,6185.066406,42494390880.0,2020-03-21,133.101761,135.97241200000002,127.163757,132.81871,132.81871,13684083308.0
5,2020-03-22,6185.558105,6359.697265999999,5823.713867,5830.254883,5830.254883,40099664740.0,2020-03-22,132.851135,136.15164199999998,122.909332,123.321152,123.321152,12497707224.0
6,2020-03-23,5831.374511999999,6443.93457,5785.004395,6416.314941,6416.314941,46491916000.0,2020-03-23,123.365982,134.911606,121.86788200000001,134.911606,134.911606,14149877968.0
7,2020-03-24,6436.642578,6789.022948999999,6411.066406,6734.803711,6734.803711,48221910672.0,2020-03-24,135.19413799999998,141.948532,133.168777,138.76144399999998,138.76144399999998,14609068673.0
8,2020-03-25,6738.716797,6892.51123,6536.92627,6681.062988000001,6681.062988000001,44590107888.0,2020-03-25,138.914963,141.403793,134.30423000000002,136.195892,136.195892,13433092920.0
9,2020-03-26,6675.170897999999,6735.463867,6590.962890999999,6716.44043,6716.44043,35319797642.0,2020-03-26,136.190674,138.830566,134.886032,138.361557,138.361557,11367261176.0
10,2020-03-27,6719.38916,6793.836426000001,6466.70166,6469.79834,6469.79834,34585598367.0,2020-03-27,138.369934,139.902695,133.937943,133.937943,133.937943,11396286629.0
11,2020-03-28,6467.253906,6467.500977000001,6117.837890999999,6242.193848,6242.193848,34885225901.0,2020-03-28,134.032745,134.032745,126.962189,130.986496,130.986496,12162403960.0
12,2020-03-29,6245.624511999999,6250.467285,5920.085938,5922.042969,5922.042969,28373690931.0,2020-03-29,131.01533500000002,131.17408799999998,125.45005,125.58373300000001,125.58373300000001,9938133669.0
13,2020-03-30,5925.538574,6517.195801,5903.234375,6429.841797,6429.841797,37101651525.0,2020-03-30,125.577896,133.91146899999998,125.28968,132.904541,132.904541,11841123306.0
14,2020-03-31,6430.606445,6504.515136999999,6374.162109000001,6438.644531,6438.644531,32786468812.0,2020-03-31,132.820923,134.274139,131.652893,133.59356699999998,133.59356699999998,11065246317.0
15,2020-04-01,6437.319336,6612.57373,6202.373535,6606.776367,6606.776367,40346426266.0,2020-04-01,133.61231999999998,135.634552,129.730942,135.634552,135.634552,12456564435.0
16,2020-04-02,6606.776367,7088.247559,6595.918457,6793.624512,6793.624512,47660646124.0,2020-04-02,135.732178,146.787094,135.732178,142.029144,142.029144,15322861686.0
17,2020-04-03,6797.396484000001,7003.220703,6673.335938,6733.387206999999,6733.387206999999,38976504903.0,2020-04-03,142.110458,146.899872,139.61938500000002,142.091309,142.091309,13184603402.0
18,2020-04-04,6738.382812999999,6878.953613,6696.484863000001,6867.527344,6867.527344,33185988584.0,2020-04-04,142.215179,145.377304,140.121826,145.219391,145.219391,11946658257.0
19,2020-04-05,6862.537598000001,6883.414062999999,6715.929198999999,6791.129395,6791.129395,29510409856.0,2020-04-05,145.26101699999998,146.128525,142.102081,143.546646,143.546646,11280993591.0
20,2020-04-06,6788.049805,7271.78125,6782.889648,7271.78125,7271.78125,46896904615.0,2020-04-06,143.608215,169.27264399999999,143.544601,169.13588000000001,169.13588000000001,21636382525.0
21,2020-04-07,7273.644043000001,7427.939453,7136.714355,7176.414551000001,7176.414551000001,44243482668.0,2020-04-07,169.147446,175.20413200000002,164.203323,165.101944,165.101944,21659346091.0
22,2020-04-08,7179.283203,7356.223633,7153.305664,7334.098633,7334.098633,37563249549.0,2020-04-08,165.240326,173.210266,164.493195,172.641739,172.641739,17063110836.0
23,2020-04-09,7337.966309,7341.448242,7179.094238,7302.089355,7302.089355,34815139178.0,2020-04-09,172.76126100000002,172.897781,167.987122,170.807144,170.807144,14901696210.0
24,2020-04-10,7303.81543,7303.81543,6802.475098000001,6865.493164,6865.493164,43622840992.0,2020-04-10,170.82926899999998,170.949768,154.914474,158.412445,158.412445,17980944616.0
25,2020-04-11,6867.44043,6926.069823999999,6789.920898,6859.083008,6859.083008,31222085946.0,2020-04-11,158.53898600000002,161.167572,155.29834,158.216019,158.216019,13555089447.0
26,2020-04-12,6858.067870999999,7119.947265999999,6811.078125,6971.091797,6971.091797,35759567632.0,2020-04-12,158.23239099999998,164.516953,156.320511,161.142426,161.142426,15123721386.0
27,2020-04-13,6965.616698999999,6965.616698999999,6668.259765999999,6845.037598000001,6845.037598000001,38619308647.0,2020-04-13,160.720673,160.749695,151.61448700000003,156.279556,156.279556,16465282133.0
28,2020-04-14,6843.281738,6958.557129000001,6793.821289,6842.427734000001,6842.427734000001,34110434052.0,2020-04-14,156.35595700000002,160.944275,155.865936,157.59638999999999,157.59638999999999,14723156630.0
29,2020-04-15,6845.561523,6928.664551000001,6633.402832,6642.109863000001,6642.109863000001,32288311031.0,2020-04-15,157.565643,160.711121,152.802841,153.28689599999998,153.28689599999998,14171753737.0
30,2020-04-16,6640.454102000001,7134.450684,6555.504395,7116.804198999999,7116.804198999999,46783242377.0,2020-04-16,153.200424,173.157272,150.359421,172.157379,172.157379,22910469236.0
31,2020-04-17,,,,,,,2020-04-17,,,,,,
32,2020-04-18,7092.291504000001,7269.956543000001,7089.24707,7257.665039,7257.665039,32447188386.0,2020-04-18,171.618073,187.940475,171.618073,186.914001,186.914001,20160323443.0
33,2020-04-19,7260.922363,7280.521973000001,7167.054687999999,7189.424805,7189.424805,31311210215.0,2020-04-19,186.861984,188.09892299999998,180.12081899999998,181.61496,181.61496,19146038381.0
