Date,Close
3/17/2020 16:00:00,10.64
3/18/2020 16:00:00,9.97
3/19/2020 16:00:00,11.74
3/20/2020 16:00:00,11.2
3/23/2020 16:00:00,10.63
3/24/2020 16:00:00,11.73
3/25/2020 16:00:00,11.62
3/26/2020 16:00:00,12.12
3/27/2020 16:00:00,11.28
3/30/2020 16:00:00,10.8
3/31/2020 16:00:00,10.22
4/1/2020 16:00:00,9.46
4/2/2020 16:00:00,8.92
4/3/2020 16:00:00,8.61
4/6/2020 16:00:00,9.7
4/7/2020 16:00:00,9.5
4/8/2020 16:00:00,9.59
4/9/2020 16:00:00,10.58
4/13/2020 16:00:00,10.39
4/14/2020 16:00:00,9.94
4/15/2020 16:00:00,9.55
4/16/2020 16:00:00,9.28
4/17/2020 16:00:00,10.14
4/20/2020 16:00:00,9.87
4/21/2020 16:00:00,9.42
4/22/2020 16:00:00,9.43
4/23/2020 16:00:00,10.02
4/24/2020 16:00:00,10.8
4/27/2020 16:00:00,10.74
4/28/2020 16:00:00,11.53
4/29/2020 16:00:00,11.37
4/30/2020 16:00:00,11.31
5/1/2020 16:00:00,11.6
5/4/2020 16:00:00,11.56
5/5/2020 16:00:00,11.02
5/6/2020 16:00:00,10.5
5/7/2020 16:00:00,10.76
5/8/2020 16:00:00,11.54
5/11/2020 16:00:00,11.53
5/12/2020 16:00:00,9.84
5/13/2020 16:00:00,9.6
5/14/2020 16:00:00,10.03
5/15/2020 16:00:00,10.92
5/18/2020 16:00:00,11.43
5/19/2020 16:00:00,10.77
5/20/2020 16:00:00,10.48
5/21/2020 16:00:00,11.39
5/22/2020 16:00:00,11.4
5/26/2020 16:00:00,11.96
5/27/2020 16:00:00,12.5
5/28/2020 16:00:00,11.83
5/29/2020 16:00:00,11.3
6/1/2020 16:00:00,11.21
6/2/2020 16:00:00,11.41
6/3/2020 16:00:00,12.21
6/4/2020 16:00:00,12.39
6/5/2020 16:00:00,13.51
6/8/2020 16:00:00,13.94
6/9/2020 16:00:00,13.43
6/10/2020 16:00:00,12.57
6/11/2020 16:00:00,12.02
6/12/2020 16:00:00,12.14
6/15/2020 16:00:00,12.28
6/16/2020 16:00:00,12.62
6/17/2020 16:00:00,12.16
6/18/2020 16:00:00,12.17
6/19/2020 16:00:00,11.88
6/22/2020 16:00:00,12.03
6/23/2020 16:00:00,12.15
6/24/2020 16:00:00,11.43
6/25/2020 16:00:00,11
6/26/2020 16:00:00,11.15
6/29/2020 16:00:00,11.6
6/30/2020 16:00:00,11.83
7/1/2020 16:00:00,11.51
7/2/2020 16:00:00,11.29
7/6/2020 16:00:00,11.79
7/7/2020 16:00:00,11.48
7/8/2020 16:00:00,11.6
7/9/2020 16:00:00,10.82
7/10/2020 16:00:00,11.02
7/13/2020 16:00:00,11.11
7/14/2020 16:00:00,11.24
7/15/2020 16:00:00,11.85
7/16/2020 16:00:00,12.24
7/17/2020 16:00:00,12.03
7/20/2020 16:00:00,11.46
7/21/2020 16:00:00,12.27
7/22/2020 16:00:00,12.16
7/23/2020 16:00:00,11.94
7/24/2020 16:00:00,11.71
7/27/2020 16:00:00,11.69
7/28/2020 16:00:00,11.8
7/29/2020 16:00:00,11.98
7/30/2020 16:00:00,12.29
7/31/2020 16:00:00,11.84
8/3/2020 16:00:00,12.26
8/4/2020 16:00:00,13.89
8/5/2020 16:00:00,13.21
8/6/2020 16:00:00,12.75
8/7/2020 16:00:00,12.96
8/10/2020 16:00:00,13.29
8/11/2020 16:00:00,13.22
8/12/2020 16:00:00,12.97
8/13/2020 16:00:00,12.92
8/14/2020 16:00:00,13.17
8/17/2020 16:00:00,13.75
8/18/2020 16:00:00,13.77
8/19/2020 16:00:00,13.99
8/20/2020 16:00:00,14.81
8/21/2020 16:00:00,14.39
8/24/2020 16:00:00,14.55
8/25/2020 16:00:00,14.31
8/26/2020 16:00:00,14.66
8/27/2020 16:00:00,14.72
8/28/2020 16:00:00,14.5
8/31/2020 16:00:00,14.24
9/1/2020 16:00:00,14.78
9/2/2020 16:00:00,14.79
9/3/2020 16:00:00,14.49
9/4/2020 16:00:00,14.51
9/8/2020 16:00:00,14.64
9/9/2020 16:00:00,14.1
9/10/2020 16:00:00,14.03
9/11/2020 16:00:00,14.06
9/14/2020 16:00:00,13.75
9/15/2020 16:00:00,13.86
9/16/2020 16:00:00,14.27
9/17/2020 16:00:00,15.46
9/18/2020 16:00:00,15.23
9/21/2020 16:00:00,14.34
9/22/2020 16:00:00,14.48
9/23/2020 16:00:00,13.91
9/24/2020 16:00:00,13.72
9/25/2020 16:00:00,13.6
9/28/2020 16:00:00,13.76
9/29/2020 16:00:00,13.59
9/30/2020 16:00:00,13.54
10/1/2020 16:00:00,13.77
10/2/2020 16:00:00,14.01
10/5/2020 16:00:00,14.4
10/6/2020 16:00:00,14.47
10/7/2020 16:00:00,15.13
10/8/2020 16:00:00,15.15
10/9/2020 16:00:00,15.49
10/12/2020 16:00:00,15.63
10/13/2020 16:00:00,17.69
10/14/2020 16:00:00,17.05
10/15/2020 16:00:00,17.15
10/16/2020 16:00:00,17.04
10/19/2020 16:00:00,16.78
10/20/2020 16:00:00,16.78
10/21/2020 16:00:00,16.73
10/22/2020 16:00:00,16.94
10/23/2020 16:00:00,17.17
10/26/2020 16:00:00,17.25
10/27/2020 16:00:00,16.91
10/28/2020 16:00:00,16.33
10/29/2020 16:00:00,16.62
10/30/2020 16:00:00,16.05
11/2/2020 16:00:00,16.47
11/3/2020 16:00:00,16.78
11/4/2020 16:00:00,16.41
11/5/2020 16:00:00,16.72
11/6/2020 16:00:00,16.66
11/9/2020 16:00:00,16.51
11/10/2020 16:00:00,17.08
11/11/2020 16:00:00,17.13
11/12/2020 16:00:00,16.63
11/13/2020 16:00:00,17.18
11/16/2020 16:00:00,17.81
11/17/2020 16:00:00,18.02
11/18/2020 16:00:00,18.1
11/19/2020 16:00:00,18.27
11/20/2020 16:00:00,17.98
11/23/2020 16:00:00,18.12
11/24/2020 16:00:00,18.74
11/25/2020 16:00:00,18.83
11/27/2020 13:00:00,18.65
11/30/2020 16:00:00,18.27
12/1/2020 16:00:00,18.53
12/2/2020 16:00:00,18.62
12/3/2020 16:00:00,18.81
12/4/2020 16:00:00,19.09
12/7/2020 16:00:00,18.54
12/8/2020 16:00:00,18.54
12/9/2020 16:00:00,18.98
12/10/2020 16:00:00,18.97
12/11/2020 16:00:00,18.86
12/14/2020 16:00:00,18.57
12/15/2020 16:00:00,19
12/16/2020 16:00:00,18.79
12/17/2020 16:00:00,18.92
12/18/2020 16:00:00,19.13
12/21/2020 16:00:00,19.4
12/22/2020 16:00:00,20.05
12/23/2020 16:00:00,20.12
12/24/2020 13:00:00,20.08
12/28/2020 16:00:00,20.25
12/29/2020 16:00:00,20.02
12/30/2020 16:00:00,20.29
12/31/2020 16:00:00,20.21
1/4/2021 16:00:00,20.34
1/5/2021 16:00:00,20.89
1/6/2021 16:00:00,21.84
1/7/2021 16:00:00,21.75
1/8/2021 16:00:00,21.41
1/11/2021 16:00:00,22.05
1/12/2021 16:00:00,22.33
1/13/2021 16:00:00,21.93
1/14/2021 16:00:00,23.37
1/15/2021 16:00:00,22.91
1/19/2021 16:00:00,23.66
1/20/2021 16:00:00,23.8
1/21/2021 16:00:00,23.76
1/22/2021 16:00:00,24.25
1/25/2021 16:00:00,24.06
1/26/2021 16:00:00,24.48
1/27/2021 16:00:00,24.48
1/28/2021 16:00:00,24.33
1/29/2021 16:00:00,23.65
2/1/2021 16:00:00,23.69
2/2/2021 16:00:00,24.29
2/3/2021 16:00:00,24.33
2/4/2021 16:00:00,24.5
2/5/2021 16:00:00,24.82
2/8/2021 16:00:00,25.91
2/9/2021 16:00:00,25.2
2/10/2021 16:00:00,24.61
2/11/2021 16:00:00,24.38
2/12/2021 16:00:00,24.04
2/16/2021 16:00:00,23.83
2/17/2021 16:00:00,24.23
2/18/2021 16:00:00,24.23
2/19/2021 16:00:00,25
2/22/2021 16:00:00,25.11
2/23/2021 16:00:00,24.93
2/24/2021 16:00:00,25.65
2/25/2021 16:00:00,25.11
2/26/2021 16:00:00,25.62
3/1/2021 16:00:00,26.14
3/2/2021 16:00:00,26.22
3/3/2021 16:00:00,25.96
3/4/2021 16:00:00,24.86
3/5/2021 16:00:00,25.46
3/8/2021 16:00:00,27.07
3/9/2021 16:00:00,26.44
3/10/2021 16:00:00,27.78
3/11/2021 16:00:00,27.97
3/12/2021 16:00:00,28.75
3/15/2021 16:00:00,28.79
3/16/2021 16:00:00,28.36
3/17/2021 16:00:00,28.59
3/18/2021 16:00:00,29.02
3/19/2021 16:00:00,28.63
3/22/2021 16:00:00,28.31
3/23/2021 16:00:00,27.71
3/24/2021 16:00:00,26.58
3/25/2021 16:00:00,27.39
3/26/2021 16:00:00,27.69
3/29/2021 16:00:00,27.22
3/30/2021 16:00:00,27.56
3/31/2021 16:00:00,27.61
4/1/2021 16:00:00,27.96
4/5/2021 16:00:00,28.5
4/6/2021 16:00:00,28.9
4/7/2021 16:00:00,27.73
4/8/2021 16:00:00,27.27
4/9/2021 16:00:00,27.75
4/12/2021 16:00:00,27.77
