time,BA,DAL,MGM,WYNN
2020-07-31 00:00:00-04:00,158.01,24.98,16.09,72.42
2020-08-03 00:00:00-04:00,162.24,25.21,16.33,73.04
2020-08-04 00:00:00-04:00,165.1,25.67,16.71,72.8
2020-08-05 00:00:00-04:00,174.25,26.5,16.71,71.24
2020-08-06 00:00:00-04:00,172.24,27.08,18.46,76.52
2020-08-07 00:00:00-04:00,170.1,27.175,19.03,74.1
2020-08-10 00:00:00-04:00,179.4,29.33,21.65,81.44
2020-08-11 00:00:00-04:00,180.165,29.64,21.51,88.29
2020-08-12 00:00:00-04:00,175.47,29.08,21.14,85.85
2020-08-13 00:00:00-04:00,174.775,28.7,21.34,86.67
2020-08-14 00:00:00-04:00,178.08,28.95,21.82,85.01
2020-08-17 00:00:00-04:00,172.04,28.02,21.39,83.5
2020-08-18 00:00:00-04:00,170.14,27.62,20.95,81.63
2020-08-19 00:00:00-04:00,169.27,27.69,20.9,81.255
2020-08-20 00:00:00-04:00,169.65,27.62,20.83,80.28
2020-08-21 00:00:00-04:00,167.46,27.27,21.16,82.83
2020-08-24 00:00:00-04:00,178.27,29.8,22.27,86.8
2020-08-25 00:00:00-04:00,174.64,30.11,22.09,86.18
2020-08-26 00:00:00-04:00,171.76,29.96,22.0,84.77
2020-08-27 00:00:00-04:00,174.13,30.815,22.81,86.51
2020-08-28 00:00:00-04:00,175.85,31.99,23.87,91.54
2020-08-31 00:00:00-04:00,171.83,30.86,22.5,87.46
2020-09-01 00:00:00-04:00,172.11,30.71,22.77,86.28
2020-09-02 00:00:00-04:00,174.7,31.14,23.715,89.27
2020-09-03 00:00:00-04:00,168.77,31.22,23.07,87.36
2020-09-04 00:00:00-04:00,170.95,31.77,23.52,87.78
2020-09-08 00:00:00-04:00,161.19,32.54,23.17,82.67
2020-09-09 00:00:00-04:00,160.73,31.75,23.11,82.95
2020-09-10 00:00:00-04:00,157.7,31.79,22.83,83.31
2020-09-11 00:00:00-04:00,160.23,31.7,22.72,82.12
2020-09-14 00:00:00-04:00,165.36,32.8,23.05,83.75
2020-09-15 00:00:00-04:00,163.5,33.5,23.73,82.28
2020-09-16 00:00:00-04:00,167.5,34.56,23.01,79.68
2020-09-17 00:00:00-04:00,167.6364,33.93,22.53,79.32
2020-09-18 00:00:00-04:00,161.07,32.85,22.02,77.69
2020-09-21 00:00:00-04:00,156.36,29.82,21.105,72.35
2020-09-22 00:00:00-04:00,156.8,30.2,21.62,73.415
2020-09-23 00:00:00-04:00,151.2106,29.56,21.38,70.69
