Date,SP500,Nasdaq,BA,DAL,MGM,WYNN,Tesla,Gamestop,AAPL,AMZN,BRK.A,MSFT,BTC,ETH
2020-06-24,304.089996,9909.169922,176.79,27.35,16.93,75.21,960.85,4.41,360.06,2733.49,266340.0,197.84,9313.610352,235.772461
2020-06-25,307.350006,10017.0,174.875,28.01,16.7,73.55,985.98,4.46,364.88,2756.16,268236.0,200.36,9264.813477,232.944489
2020-06-26,300.049988,9757.219727,169.93,26.94,15.7,69.05,960.76,4.38,353.69,2692.87,263754.5,196.33,9162.917969,229.668045
2020-06-29,304.459991,9874.150391,194.42,28.6,16.82,74.22,1009.89,4.37,362.0,2681.52,265395.0,198.5,9190.854492,228.19487
2020-06-30,308.359985,10058.769531,183.07,28.04,16.81,74.49,1079.0,4.33,364.6,2756.09,267770.0,203.5,9137.993164,226.315002
2020-07-01,310.519989,10154.629883,180.31,27.7,16.78,73.79,1119.54,4.44,364.01,2879.2,266910.0,204.66,9228.325195,231.113419
2020-07-02,312.230011,10207.629883,180.76,27.72,16.86,77.34,1208.8,4.29,364.12,2887.56,268170.0,206.21,9123.410156,229.392197
2020-07-06,317.049988,10433.650391,187.85,28.45,16.71,76.7,1371.0,4.24,373.81,3057.16,274050.0,210.69,9375.474609,241.510223
2020-07-07,313.7799990000001,10343.889648,178.95,27.02,16.15,73.42,1389.69,4.09,372.64,3000.12,271447.25,208.24,9252.277344,239.075531
2020-07-08,316.179993,10492.5,179.98,27.02,16.28,74.15,1365.8054,4.26,381.44,3081.88,272169.5,212.84,9428.333008,246.670013
2020-07-09,314.380005,10547.75,173.26,25.65,16.0,71.16,1393.81,4.21,382.6599,3183.81,268947.0,214.4,9277.967773,243.015961
2020-07-10,317.589996,10617.44043,178.31,27.11,16.19,74.16,1546.01,4.34,383.52,3203.36,274400.0,213.65,9278.807617,240.984985
2020-07-13,314.839996,10390.839844,175.62,26.84,16.37,81.27,1494.1,4.26,381.91,3101.55,276268.0,207.1,9243.614258,239.604584
