Date,BA,DAL,MGM,WYNN,Tesla,Gamestop,AAPL,AMZN,BRK.A,MSFT,BTC,ETH
2021-02-05,207.86,41.1489,34.24,117.02,852.61,63.7601,136.77,3352.49,354347.0,242.2,38144.308594,1718.6508789999998
2021-02-08,211.9499,43.23,35.6,117.55,863.3,59.9599,136.9007,3323.49,357100.0,242.47,46196.464844,1746.616821
2021-02-09,215.17,42.51,35.83,113.26,849.25,50.32,136.0,3305.0,361125.0,243.8,46481.105469,1768.035034
2021-02-10,212.0,42.91,36.53,116.44,805.0,51.19,135.36,3286.59,362000.0,242.81,44918.183594,1744.2434079999994
2021-02-11,210.53,42.72,35.3,114.55,811.65,50.9,135.12,3261.65,361650.0,244.52,47909.332031,1783.7979739999994
2021-02-12,210.98,43.29,35.94,117.85,816.04,52.33,135.38,3278.38,365500.0,245.06,47504.851563,1843.532593
2021-02-16,217.18,44.65,35.0,121.405,795.99,49.5,133.16,3267.05,369595.6,243.71,49199.871094,1781.067505
2021-02-17,215.61,44.38,34.94,122.1,798.25,45.845,130.84,3307.8,370400.0,244.26,52149.007813,1848.458252
2021-02-18,208.58,44.39,35.05,119.95,787.3,40.7,129.7127,3329.43,367400.0,243.79,51679.796875,1937.449219
2021-02-19,217.47,45.68,36.42,123.69,781.5,40.6799,129.85,3251.0,364840.0,241.03,55888.132813,1960.164795
2021-02-22,212.89,47.75,37.53,126.74,714.71,45.79,126.01,3182.39,369620.0,234.6,54207.320313,1781.99292
2021-02-23,212.13,48.34,39.59,136.48,698.65,44.94,125.85,3195.65,371585.0,233.27,48824.425781,1570.203979
2021-02-24,229.33,49.58,38.62,134.21,742.02,91.7,125.32,3159.53,375000.0,234.54,49705.332031,1626.575684
2021-02-25,216.4,48.25,36.71,128.62,682.6,109.1599,121.0,3057.16,367477.5,228.83,47093.851563,1475.703735
2021-02-26,212.01,47.945,37.8,131.73,671.01,101.5999,121.2,3092.349,364000.0,232.19,46339.761719,1446.033691
2021-03-01,224.3094,48.06,38.29,131.78,718.43,119.49,127.79,3146.61,377077.5,236.94,49631.242188,1564.707642
2021-03-02,223.09,48.23,38.53,132.88,686.05,118.1,125.1601,3095.99,377400.0,233.87,48378.988281,1492.608765
2021-03-03,228.55,48.35,38.84,135.59,652.22,124.8,122.06,3005.01,380787.5,227.55,50538.242188,1575.853149
2021-03-04,224.7,46.97,37.29,132.98,621.49,132.35,120.22,2977.04,371454.9,226.9,48561.167969,1541.914307
2021-03-05,223.22,46.21,37.13,133.325,597.496,137.0,121.39,3000.45,383300.0,231.58,48927.304688,1533.275024
2021-03-08,223.91,47.88,37.85,133.68,562.97,192.99,116.4,2951.951,388000.0,227.42,52246.523438,1834.727905
2021-03-09,230.62,47.61,37.48,134.0,673.58,246.9,121.08,3062.67,391295.0,233.68,54824.117188,1868.0488280000002
2021-03-10,245.3237,47.8,37.64,134.84,668.27,263.05,119.97,3057.64,398750.0,232.39,56008.55078099999,1799.1662600000002
2021-03-11,251.99,48.32,39.18,137.84,699.6,256.19,121.95,3116.48,395500.0,237.26,57805.12109400001,1826.194946
2021-03-12,269.12,49.84,38.97,137.02,693.84,264.4589,121.05,3091.23,394800.0,235.8,57332.08984400001,1772.1024170000005
2021-03-15,265.59,50.98,40.95,139.8,707.94,220.13,124.0,3081.42,386177.25,234.81,55907.19921900001,1791.702271
2021-03-16,255.2001,49.39,39.9,137.48,676.63,207.6199,125.57,3092.42,382351.5,237.69,56804.90234400001,1806.971802
2021-03-17,263.52,50.45,41.22,139.9,701.54,209.8,124.8,3135.2,382500.0,237.19,58870.89453099999,1823.449341
2021-03-18,256.16,49.18,39.51,135.65,653.3,201.52,120.55,3027.99,383100.03,230.72,57858.921875,1782.855103
2021-03-19,255.82,48.9999,40.03,135.48,654.97,199.46,119.87,3072.99,380797.75,229.91,58346.65234400001,1817.624146
2021-03-22,251.18,47.95,39.02,132.8,670.0,194.52,123.37,3111.37,380048.88,236.04,54529.14453099999,1691.3339839999999
2021-03-23,241.28,45.64,37.33,125.18,662.475,180.66,122.54,3137.5,376982.0,237.5,54738.945313,1678.6501460000006
2021-03-24,239.11,45.61,36.89,125.16,630.12,120.335,120.07,3087.17,378000.0,235.46,52774.265625,1593.413452
2021-03-25,247.37,47.0,37.96,128.12,640.49,183.72,120.6,3045.73,379980.03,232.33,51704.160156,1595.3592529999999
2021-03-26,244.88,47.66,37.665,127.29,618.8299,179.98,121.21,3053.14,389219.5,236.49,55137.3125,1702.842041
2021-03-29,250.65,47.32,37.14,123.5,611.51,181.08,121.38,3076.76,390404.03,235.28,57750.19921900001,1819.684937
2021-03-30,252.16,48.91,38.22,125.43,635.925,193.98,119.98,3055.85,389930.0,232.26,58917.69140599999,1846.033691
2021-03-31,254.75,48.3,37.99,125.45,668.06,190.2,122.0928,3095.2,386724.44,236.01,58918.83203099999,1918.362061
2021-04-01,252.97,48.83,39.7,128.1,661.33,190.6,123.0,3161.55,390399.0,242.39,59095.80859400001,1977.276855
2021-04-05,259.4508,50.25,41.7,131.03,691.0,186.1239,125.9001,3225.26,395766.5,249.07,59057.87890599999,2107.887207
2021-04-06,255.13,51.65,41.52,136.44,691.44,184.4,126.23,3223.99,396805.0,247.87,58192.359375,2118.378906
2021-04-07,252.51,50.2,41.1,132.67,671.03,177.73,127.91,3279.39,395995.03,249.89,56048.9375,1971.077271
2021-04-08,254.87,49.81,42.15,133.47,683.77,170.24,130.37,3299.99,396714.94,253.26,58323.953125,2088.57373
2021-04-09,252.315,49.27,41.76,131.39,677.02,158.32,133.0,3372.09,399909.0,255.83,58245.00390599999,2072.108887000001
2021-04-12,249.57,48.82,41.17,129.93,701.63,141.07,131.27,3379.39,403075.0,255.92,59893.453125,2139.353271
2021-04-13,253.13,48.25,40.98,129.88,762.35,140.72,134.41,3400.0,402100.0,258.49,63503.45703099999,2299.1877440000007
