,BTC,ETH
0,5225.629395,113.94274899999999
1,5238.438477000001,114.84227
2,6191.192871,136.593857
3,6198.77832,132.737167
4,6185.066406,132.81871
5,5830.254883,123.321152
6,6416.314941,134.911606
7,6734.803711,138.76144399999998
8,6681.062988000001,136.195892
9,6716.44043,138.361557
10,6469.79834,133.937943
11,6242.193848,130.986496
12,5922.042969,125.58373300000001
13,6429.841797,132.904541
14,6438.644531,133.59356699999998
15,6606.776367,135.634552
16,6793.624512,142.029144
17,6733.387206999999,142.091309
18,6867.527344,145.219391
19,6791.129395,143.546646
20,7271.78125,169.13588000000001
21,7176.414551000001,165.101944
22,7334.098633,172.641739
23,7302.089355,170.807144
24,6865.493164,158.412445
25,6859.083008,158.216019
26,6971.091797,161.142426
27,6845.037598000001,156.279556
28,6842.427734000001,157.59638999999999
29,6642.109863000001,153.28689599999998
30,7116.804198999999,172.157379
31,,
32,7257.665039,186.914001
33,7189.424805,181.61496
34,6881.958495999999,172.29716499999998
35,6880.323242,172.737701
36,7117.20752,182.599579
37,7429.724609000001,185.028671
38,7550.900879000001,189.23693799999998
39,7569.936035,195.515305
40,7679.867187999999,197.31753500000002
41,7795.601073999999,197.224716
42,7807.058594,198.41539
43,8801.038086,216.968231
44,8658.553711,207.602051
45,8864.766602,214.21910099999997
46,8988.59668,215.32537799999997
47,8897.46875,210.93315099999998
48,8912.654297,208.174011
49,9003.070313,206.774399
50,9268.761719,204.055786
51,9951.518555,212.289413
52,9842.666016,212.991577
53,9593.896484,211.60012799999998
54,8756.430664,188.599564
55,8601.795898,185.91284199999998
56,8804.477539,189.3125
57,9269.987305,199.193283
58,9733.72168,202.949097
59,9328.197266,195.62266499999998
60,9377.013672,200.677124
61,9670.739258,207.158691
62,9726.575195,214.52505499999998
63,9729.038086,213.451111
64,9522.981445,210.096741
65,9081.761719,199.88360600000001
66,9182.577148,207.169189
67,9209.287109,208.694397
68,8790.368164,202.37034599999998
69,8906.93457,205.319748
70,8835.052734,201.902313
71,9181.017578,208.863434
72,9525.750977,219.840424
73,9439.124023,220.675125
74,9700.414063,242.345596
75,9461.058594,230.975708
76,10167.268555,246.99176
77,9529.803711,237.21905499999997
78,9656.717773,244.179321
79,9800.636719,244.426392
80,9665.533203,241.22198500000002
81,9653.679688,241.93132000000003
82,9758.852539,245.167252
83,9771.489258,246.309906
84,9795.700195,244.91145299999997
85,9870.094727,247.444946
86,9321.78125,231.702667
87,9480.84375,237.49321
88,9475.277344,238.908844
89,9386.788086,234.1147
90,9450.702148,229.92890899999998
91,9538.024414,234.41616800000003
92,9480.254883,233.028275
93,9411.84082,232.101166
94,9288.018555,227.13828999999998
95,9332.34082,229.274261
96,9303.629883,228.98982200000003
97,9648.717773,242.533188
98,9629.658203,244.14215099999998
99,9313.610352,235.772461
100,9264.813477,232.944489
101,9162.917969,229.668045
102,9045.390625,222.95979300000002
103,9143.582031,225.347168
104,9190.854492,228.19487
105,9137.993164,226.315002
106,9228.325195,231.113419
107,9123.410156,229.392197
108,9087.303711,225.38707000000002
109,9132.488281,229.074112
110,9073.942383,227.66459700000001
111,9375.474609,241.510223
112,9252.277344,239.075531
113,9428.333008,246.67001299999998
114,9277.967773,243.01596099999998
115,9278.807617,240.98498500000002
116,9240.34668,239.45817599999998
117,9276.5,242.13169900000003
118,9243.614258,239.604584
119,9243.213867,240.211487
120,9192.836914,238.423523
121,9132.227539,233.64088399999997
122,9151.392578,232.773087
123,9159.040039,235.48381
124,9185.817383,238.48751800000002
125,9164.231445,236.15316800000002
126,9374.887695,245.016724
127,9525.363281,262.190643
128,9581.072266,274.689056
129,9536.892578,279.21542400000004
130,9677.113281,304.056763
131,9905.166992,309.643616
132,10990.873047,321.51409900000004
133,10912.823242,316.65725699999996
134,11100.467773,318.19088700000003
135,11111.213867,334.586639
136,11323.466797,345.55465699999996
137,11759.592773,385.199707
138,11053.614258,370.67172200000005
139,11246.348633,386.295166
140,11205.892578,389.87548799999996
141,11747.022461,401.590576
142,11779.773438,394.961945
143,11601.472656,379.512848
144,11754.045898,393.987366
145,11675.739258,391.120453
146,11878.111328,395.887573
147,11410.525391,380.384064
148,11584.93457,391.02417
149,11784.137695,428.74179100000003
150,11768.871094,437.39782699999995
151,11865.698242,433.35491900000005
152,11892.803711,433.78662099999997
153,12254.402344,429.53125
154,11991.233398,423.669312
155,11758.283203,406.463776
156,11878.37207,416.439789
157,11592.489258,389.126343
158,11681.825195,395.835144
159,11664.847656,391.384491
160,11774.595703,408.144196
161,11366.134766,384.001038
162,11488.363281,386.466125
163,11323.397461,382.632629
164,11542.5,395.874664
165,11506.865234,399.921478
166,11711.505859,428.395721
167,11680.820313,435.079742
168,11970.478516,477.05190999999996
169,11414.03418,440.04049699999996
170,10245.296875,385.67193599999996
171,10511.813477,388.24115
172,10169.567383,335.260071
173,10280.351563,353.362274
174,10369.563477,352.673492
175,10131.516602,337.60211200000003
176,10242.347656,351.11001600000003
177,10363.138672,368.101898
178,10400.915039,374.695587
179,10442.170898,387.18310499999995
180,10323.755859,365.570007
181,10680.837891,377.26886
182,10796.951172,364.839203
183,10974.905273,365.812286
184,10948.990234,389.019226
185,10944.585938,384.364532
186,11094.34668,385.544373
187,10938.271484,371.052826
188,10462.259766,341.78607200000005
189,10538.459961,344.503174
190,10225.864258,320.58554100000003
191,10745.548828,349.356659
192,10702.290039,352.161865
193,10754.4375,354.965271
194,10774.426758,357.321686
195,10721.327148,354.9505
196,10848.830078,359.963409
197,10787.618164,360.02236899999997
198,10623.330078,353.231293
199,10585.164063,346.532654
200,10565.493164,347.321594
201,10684.428711,353.121918
202,10804.000977,354.2771
203,10621.664063,341.02114900000004
204,10679.136719,342.119781
205,10923.62793,351.455658
206,,
207,11296.361328,370.96759
208,11384.181641,375.14205899999996
209,,
210,,
211,11429.506836,379.484039
212,11495.349609,377.44183300000003
213,11322.123047,366.22900400000003
214,11358.101563,368.855927
215,11483.359375,378.213684
216,11742.037109,379.935608
217,11916.334961,369.136902
218,12823.689453,392.189972
219,12965.891602,413.77297999999996
220,12931.539063,409.76669300000003
221,13108.0625,412.457611
222,13031.173828,406.217773
223,13075.248047,393.888306
224,13654.21875,403.99703999999997
225,13271.285156,388.650757
226,13437.882813,386.730103
227,13546.522461000002,382.819977
228,13780.995116999999,386.590332
229,13737.109375,396.358185
230,13550.489258000001,383.15673799999996
231,13950.300781,387.602173
232,14133.707031,402.141998
233,15579.848633000001,414.067352
234,15565.880859,454.71929900000003
235,14833.753906,435.71313499999997
236,15479.567383000001,453.554779
237,15332.31543,444.163055
238,15290.902344,449.679626
239,15701.339844,462.96054100000003
240,16276.34375,461.00527999999997
241,16317.808594,474.62643399999996
242,16068.138672,460.14984100000004
243,15955.587891,447.55908200000005
244,16716.111328,459.940308
245,17645.40625,480.36007699999993
246,17804.005859,479.48407000000003
247,17817.089844,471.63043200000004
248,18621.314453,509.74456799999996
249,18642.232422,549.486633
250,18370.001953,558.068115
251,18364.121094,608.454041
252,19107.464844,603.897766
253,18732.121094,570.686646
254,17150.623047,518.801147
255,17108.402344,517.493713
256,17717.414063,538.229797
257,18177.484375,575.758057
258,19625.835938,614.842529
259,18802.998047,587.324158
260,19201.091797,598.352356
261,19445.398438,616.70874
262,18699.765625,569.354187
263,19154.230469,596.595459
264,19345.121094,601.908997
265,19191.630859,591.843384
266,18321.144531,554.827759
267,18553.916016,573.479126
268,18264.992188,559.678528
269,18058.904297,545.797363
270,18803.65625,568.567322
271,19142.382813,589.663208
272,19246.644531,586.011169
273,19417.076172,589.355591
274,21310.597656,636.181824
275,22805.162109,642.868958
276,23137.960938,654.811951
277,23869.832031,659.297913
278,23477.294922,638.290833
279,22803.082031,609.817871
280,23783.029297,634.854187
281,23241.345703,583.7146
282,23735.949219,611.607178
283,24664.791016,626.410706
284,26437.037109,635.835815
285,26272.294922,682.642334
286,27084.808594,730.397339
287,27362.4375,731.520142
288,28840.953125,751.618958
289,29001.720702999995,737.803406
290,29374.152344,730.367554
291,32127.267577999995,774.534973
292,32782.023438,975.50769
293,31971.914063,1040.233032
294,33992.429688,1100.0061039999998
295,36824.363281,1207.112183
296,39371.042969,1225.678101
297,40797.609375,1224.197144
298,40254.546875,1281.077271
299,38356.441406,1262.246704
300,35566.65625,1090.145386
301,33922.960938,1043.43457
302,37316.359375,1130.73938
303,39187.328125,1218.4530029999999
304,36825.367188,1171.834595
305,36178.140625,1233.5375980000001
306,35791.277344,1230.172241
307,36630.074219,1257.279541
308,36069.804688,1377.295898
309,35547.75,1382.274048
310,30825.699219,1121.570923
311,33005.761719,1236.512207
312,32067.642577999995,1230.990601
313,32289.378906,1391.609375
314,32366.392577999995,1324.414795
315,32569.849608999997,1357.058105
316,30432.546875,1253.187134
317,31649.605469,1298.101807
318,34316.386719,1382.522827
319,34269.523438,1376.1154789999998
320,33114.359375,1314.986206
321,33537.175781,1369.0405269999999
322,35510.289063,1515.193726
323,37472.089844,1660.909546
324,36926.066406,1594.762695
325,38144.308594,1718.6508789999998
326,39266.011719,1677.846802
327,38903.441406,1614.227783
328,46196.464844,1746.616821
329,46481.105469,1768.035034
330,44918.183594,1744.2434079999998
331,47909.332031,1783.7979739999998
332,47504.851563,1843.532593
333,47105.515625,1814.109863
334,48717.289063,1805.0841059999998
335,47945.058594,1779.7910160000001
336,49199.871094,1781.067505
337,52149.007813,1848.458252
338,51679.796875,1937.449219
339,55888.132813,1960.164795
340,56099.51953099999,1919.5340579999997
341,57539.945313,1935.601074
342,54207.320313,1781.99292
343,48824.425781,1570.203979
344,49705.332031,1626.575684
345,47093.851563,1475.703735
346,46339.761719,1446.033691
347,46188.453125,1459.973145
348,45137.769531,1416.04895
349,49631.242188,1564.707642
350,48378.988281,1492.608765
351,50538.242188,1575.853149
352,48561.167969,1541.914307
353,48927.304688,1533.275024
354,48912.382813,1654.741577
355,51206.691406,1723.153809
356,52246.523438,1834.727905
357,54824.117188,1868.0488280000002
358,56008.55078099999,1799.1662600000002
359,57805.12109400001,1826.194946
360,57332.08984400001,1772.1024170000003
361,61243.085938,1924.685425
362,59302.31640599999,1854.5643309999998
363,55907.19921900001,1791.702271
364,56804.90234400001,1806.971802
365,58870.89453099999,1823.449341
366,57858.921875,1782.855103
367,58346.65234400001,1817.624146
368,58313.64453099999,1812.6346440000002
369,57523.421875,1788.217041
370,54529.14453099999,1691.3339839999999
371,54738.945313,1678.6501460000002
372,52774.265625,1593.413452
373,51704.160156,1595.3592529999999
374,55137.3125,1702.842041
375,55973.51171900001,1716.4946289999998
376,55950.74609400001,1691.355957
377,57750.19921900001,1819.684937
378,58917.69140599999,1846.033691
379,58918.83203099999,1918.362061
380,59095.80859400001,1977.276855
381,59384.3125,2143.225586
382,57603.890625,2028.422485
383,58758.554688,2093.122803
384,59057.87890599999,2107.887207
385,58192.359375,2118.378906
386,56048.9375,1971.077271
387,58323.953125,2088.57373
388,58245.00390599999,2072.1088870000003
389,59793.234375,2135.942139
390,60204.96484400001,2157.656982
391,59893.453125,2139.353271
392,63503.45703099999,2299.1877440000003
