time,Tesla,Gamestop
2020-09-14 00:00:00-04:00,419.765,6.91
2020-09-15 00:00:00-04:00,449.38,7.08
2020-09-16 00:00:00-04:00,441.76,8.674808
2020-09-17 00:00:00-04:00,423.43,9.2
2020-09-18 00:00:00-04:00,440.9701,9.45
2020-09-21 00:00:00-04:00,449.41,8.75
2020-09-22 00:00:00-04:00,423.974,10.555
2020-09-23 00:00:00-04:00,380.3885,10.05
2020-09-24 00:00:00-04:00,387.63,9.1352
2020-09-25 00:00:00-04:00,407.18,10.02
2020-09-28 00:00:00-04:00,421.0602,10.09
2020-09-29 00:00:00-04:00,418.99,10.35
2020-09-30 00:00:00-04:00,428.97,10.21
2020-10-01 00:00:00-04:00,447.81,9.77
2020-10-02 00:00:00-04:00,415.2699,9.39
2020-10-05 00:00:00-04:00,425.5,9.45
2020-10-06 00:00:00-04:00,413.7001,9.14
2020-10-07 00:00:00-04:00,425.19,9.35
2020-10-08 00:00:00-04:00,425.92,13.505
2020-10-09 00:00:00-04:00,433.96,12.03
2020-10-12 00:00:00-04:00,442.0,11.7903
2020-10-13 00:00:00-04:00,446.65,11.87
2020-10-14 00:00:00-04:00,461.47,12.25
2020-10-15 00:00:00-04:00,448.88,13.82
2020-10-16 00:00:00-04:00,439.91,13.31
2020-10-19 00:00:00-04:00,430.83,13.91
2020-10-20 00:00:00-04:00,421.97,13.86
2020-10-21 00:00:00-04:00,422.5,14.095
2020-10-22 00:00:00-04:00,425.9,14.91
2020-10-23 00:00:00-04:00,420.615,15.03
2020-10-26 00:00:00-04:00,420.28,13.495
2020-10-27 00:00:00-04:00,424.471,12.7
2020-10-28 00:00:00-04:00,406.0,11.81
2020-10-29 00:00:00-04:00,410.64,11.73
2020-10-30 00:00:00-04:00,388.04,10.4679
2020-11-02 00:00:00-05:00,400.51,10.75
2020-11-03 00:00:00-05:00,423.74,11.56
2020-11-04 00:00:00-05:00,420.91,10.9
2020-11-05 00:00:00-05:00,438.09,11.46
2020-11-06 00:00:00-05:00,429.92,11.87
2020-11-09 00:00:00-05:00,421.39,11.5
2020-11-10 00:00:00-05:00,410.41,11.11
2020-11-11 00:00:00-05:00,417.13,11.76
2020-11-12 00:00:00-05:00,411.73,11.14
2020-11-13 00:00:00-05:00,406.78,11.115
2020-11-16 00:00:00-05:00,408.09,12.07
2020-11-17 00:00:00-05:00,441.57,11.64
2020-11-18 00:00:00-05:00,486.64,11.58
2020-11-19 00:00:00-05:00,499.16,12.46
2020-11-20 00:00:00-05:00,489.44,12.71
2020-11-23 00:00:00-05:00,521.67,13.9
2020-11-24 00:00:00-05:00,555.86,13.68
2020-11-25 00:00:00-05:00,574.0,14.75
2020-11-27 00:00:00-05:00,585.75,16.05
2020-11-30 00:00:00-05:00,566.48,16.5678
2020-12-01 00:00:00-05:00,585.19,15.81
2020-12-02 00:00:00-05:00,568.8,16.59
2020-12-03 00:00:00-05:00,593.28,16.12
2020-12-04 00:00:00-05:00,599.0,16.91
2020-12-07 00:00:00-05:00,642.0,16.32
2020-12-08 00:00:00-05:00,649.88,16.92
2020-12-09 00:00:00-05:00,604.17,13.6576
2020-12-10 00:00:00-05:00,627.33,14.12
2020-12-11 00:00:00-05:00,610.0,13.31
2020-12-14 00:00:00-05:00,639.79,12.72
2020-12-15 00:00:00-05:00,632.48,13.87
2020-12-16 00:00:00-05:00,622.67,13.85
2020-12-17 00:00:00-05:00,655.725,14.83
2020-12-18 00:00:00-05:00,664.99,15.63
2020-12-21 00:00:00-05:00,649.78,15.5202
2020-12-22 00:00:00-05:00,640.09,19.43
2020-12-23 00:00:00-05:00,645.98,20.58
2020-12-24 00:00:00-05:00,661.66,20.2
2020-12-28 00:00:00-05:00,663.77,20.98
2020-12-29 00:00:00-05:00,665.98,19.37
2020-12-30 00:00:00-05:00,694.71,19.26
2020-12-31 00:00:00-05:00,705.21,18.81
2021-01-04 00:00:00-05:00,729.75,17.24
2021-01-05 00:00:00-05:00,735.055,17.36
2021-01-06 00:00:00-05:00,756.46,18.39
2021-01-07 00:00:00-05:00,816.24,18.12
2021-01-08 00:00:00-05:00,880.03,17.6899
2021-01-11 00:00:00-05:00,811.18,19.93
2021-01-12 00:00:00-05:00,849.22,19.94
2021-01-13 00:00:00-05:00,854.42,31.44
2021-01-14 00:00:00-05:00,844.21,39.9184
2021-01-15 00:00:00-05:00,826.16,35.49
2021-01-19 00:00:00-05:00,844.5,39.51
2021-01-20 00:00:00-05:00,850.65,39.12
2021-01-21 00:00:00-05:00,844.97,43.02
2021-01-22 00:00:00-05:00,846.5,64.85
2021-01-25 00:00:00-05:00,880.81,76.765
2021-01-26 00:00:00-05:00,883.46,145.965
2021-01-27 00:00:00-05:00,864.65,345.0
2021-01-28 00:00:00-05:00,835.48,197.44
2021-01-29 00:00:00-05:00,793.311,328.24
2021-02-01 00:00:00-05:00,840.0166,227.0
2021-02-02 00:00:00-05:00,872.79,90.47
2021-02-03 00:00:00-05:00,854.7,92.0431
2021-02-04 00:00:00-05:00,849.99,53.378
2021-02-05 00:00:00-05:00,852.61,63.7601
2021-02-08 00:00:00-05:00,863.3,59.9599
2021-02-09 00:00:00-05:00,849.25,50.32
2021-02-10 00:00:00-05:00,805.0,51.19
2021-02-11 00:00:00-05:00,811.65,50.9
2021-02-12 00:00:00-05:00,816.04,52.33
