,SP500,Nasdaq
0,252.80000299999998,7334.779785
1,240.0,6989.839844
2,240.50999500000003,7150.580078
3,228.80000299999998,6879.52002
4,222.94999700000002,6860.669922
5,243.149994,7417.859863
6,246.789993,7384.299805
7,261.200012,7797.540039
8,253.419998,7502.379883
9,261.649994,7774.149901999999
10,257.75,7700.100098000001
11,246.149994,7360.580078
12,251.830002,7487.310059
13,248.190002,7373.080078
14,264.859985,7913.240234000001
15,265.130005,7887.259765999999
16,274.02999900000003,8090.899901999999
17,278.200012,8153.580078
18,275.660004,8192.419922
19,283.790009,8515.740234
20,277.76001,8393.179688
21,279.100006,8532.360352
22,286.640015,8650.139648
23,281.589996,8560.730469
24,273.040009,8263.230469
25,279.100006,8495.379883
26,279.079987,8494.75
27,282.97000099999997,8634.519531
28,287.049988,8730.160156
29,285.730011,8607.730469
30,293.209991,8914.709961
31,290.480011,8889.549805
32,282.790009,8604.950195
33,283.570007,8710.709961
34,286.190002,8809.120117
35,284.25,8854.389648
36,287.679993,8979.660156
37,292.440002,9121.320313
38,292.5,9192.339844
39,286.670013,9002.549805
40,281.600006,8863.169922
41,284.97000099999997,8943.719727
42,286.27999900000003,9014.55957
43,295.0,9234.830078
44,291.97000099999997,9185.099609
45,296.929993,9375.780273
46,294.880005,9284.879883
47,295.440002,9324.589844
48,299.079987,9340.219727
49,303.52999900000003,9412.360352
50,302.97000099999997,9368.990234
51,304.320007,9489.870117
52,305.549988,9552.049805
53,308.079987,9608.379883
54,312.179993,9682.910156
55,311.359985,9615.80957
56,319.339996,9814.080078
57,323.200012,9924.75
58,320.790009,9953.75
59,319.0,10020.349609
60,300.609985,9492.730469
61,304.209991,9588.80957
62,307.049988,9726.019531
63,312.959991,9895.870117
64,311.660004,9910.530273
65,311.77999900000003,9943.049805
66,308.640015,9946.120117
67,310.619995,10056.480469
68,312.049988,10131.370117
69,304.089996,9909.169922
70,307.350006,10017.0
71,300.049988,9757.219727
72,304.459991,9874.150391
73,308.359985,10058.769531
74,310.519989,10154.629883
75,312.230011,10207.629883
76,317.049988,10433.650391
77,313.77999900000003,10343.889648
78,316.179993,10492.5
79,314.380005,10547.75
80,317.589996,10617.44043
81,314.839996,10390.839844
82,318.920013,10488.580078
83,321.850006,10550.490234
84,320.790009,10473.830078
85,321.72000099999997,10503.19043
86,324.320007,10767.089844
87,325.01001,10680.360352
88,326.859985,10706.129883
89,322.959991,10461.419922
90,320.880005,10363.179688
91,323.22000099999997,10536.269531
92,321.170013,10402.089844
93,325.119995,10542.94043
94,323.959991,10587.80957
95,326.519989,10745.269531
96,328.790009,10902.799805
97,330.059998,10941.169922
98,332.109985,10998.400391
99,334.329987,11108.070313
100,334.570007,11010.980469
101,335.570007,10968.360352
102,332.799988,10782.820313
103,337.440002,11012.240234
104,336.829987,11042.5
105,336.839996,11019.299805
106,337.910004,11129.730469
107,338.640015,11210.839844
108,337.230011,11146.459961
109,338.27999900000003,11264.950195
110,339.480011,11311.799805
111,342.920013,11379.719727
112,344.119995,11466.469727
113,347.570007,11665.05957
114,348.329987,11625.339844
115,350.579987,11695.629883
116,349.309998,11775.459961
117,352.600006,11939.669922
118,357.700012,12056.44043
119,345.390015,11458.099609
120,342.570007,11313.129883
121,333.209991,10847.69043
122,339.790009,11141.55957
123,333.890015,10919.589844
124,334.059998,10853.549805
125,338.459991,11056.650391
126,340.170013,11190.320313
127,338.820007,11050.469727
128,335.839996,10910.280273
129,330.649994,10793.280273
130,326.97000099999997,10778.799805
131,330.299988,10963.639648
132,322.640015,10632.990234
133,323.5,10672.269531
134,328.730011,10913.55957
135,334.190002,11117.530273
136,332.369995,11085.25
137,334.890015,11167.509766
138,337.040009,11326.509766
139,333.839996,11075.019531
140,339.76001,11332.490234
141,334.929993,11154.599609
142,340.76001,11364.599609
143,343.77999900000003,11420.980469
144,346.850006,11579.94043
145,352.429993,11876.259766
146,350.130005,11863.900391
147,347.929993,11768.730469
148,347.5,11713.870117
149,347.290009,11671.55957
150,342.01001,11478.879883
151,343.380005,11516.490234
152,342.730011,11484.69043
153,344.609985,11506.009766
154,345.77999900000003,11548.280273
155,339.390015,11358.94043
156,338.22000099999997,11431.349609
157,326.660004,11004.870117
158,329.980011,11185.589844
159,326.540009,10911.589844
160,330.200012,10957.610352
161,336.02999900000003,11160.570313
162,343.540009,11590.780273
163,350.23999,11890.929688
164,350.160004,11895.230469
165,354.559998,11713.780273
166,354.040009,11553.860352
167,356.670013,11786.429688
168,353.209991,11709.589844
169,358.100006,11829.290039
170,362.570007,11924.129883
171,360.619995,11899.339844
172,356.27999900000003,11801.599609
173,357.77999900000003,11904.709961
174,355.329987,11854.969727
175,357.459991,11880.629883
176,363.22000099999997,12036.790039
177,362.660004,12094.400391
178,363.670013,12205.849609
179,362.059998,12198.740234
180,366.019989,12355.110352
181,366.790009,12349.370117
182,366.690002,12377.179688
183,369.850006,12464.230469
184,369.089996,12519.950195
185,370.170013,12582.769531
186,366.850006,12338.950195
187,366.730011,12405.80957
188,366.299988,12377.870117
189,364.660004,12440.040039
190,369.589996,12595.05957
191,370.170013,12658.19043
192,372.23999,12764.75
193,369.179993,12755.639648
194,367.859985,12742.519531
195,367.23999,12807.919922
196,367.570007,12771.110352
197,369.0,12804.730469
198,372.170013,12899.419922
199,371.459991,12850.219727
200,371.98999,12870.0
201,373.880005,12888.280273
202,368.790009,12698.450195
203,371.329987,12818.959961
204,373.549988,12740.790039
205,379.100006,13067.480469
206,381.26001,13201.980469
207,378.690002,13036.429688
208,378.769989,13072.429688
