,,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH
,Date,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
43,4/29/2020,7806.712402,8871.753906,7786.049316,8801.038086,60201052203,198.465195,218.454636,198.124512,216.968231,26397548759
44,4/30/2020,8797.669922,9440.650391,8533.255859,8658.553711,66964629541,216.909134,227.529694,206.43692,207.602051,28089191904
45,5/1/2020,8672.782227,9048.023438,8667.763672,8864.766602,44068389997,207.901733,217.628021,207.780884,214.219101,20816320834
46,5/2/2020,8869.057617,9007.1875,8811.366211,8988.59668,40134388683,214.230087,215.847534,212.878677,215.325378,18260876092
47,5/3/2020,8983.614258,9167.78125,8830.97168,8897.46875,47101785174,215.352066,219.270874,208.692368,210.933151,20469034664
48,5/4/2020,8895.745117,8956.90625,8645.024414,8912.654297,45718796276,210.890854,211.828384,199.047729,208.174011,22602446422
49,5/5/2020,8912.832031,9062.415039,8856.827148,9003.070313,43148462663,208.013,211.778625,204.031128,206.774399,19004689099
50,5/6/2020,9007.441406,9411.467773,8966.706055,9268.761719,49371886931,206.481354,211.534622,204.040878,204.055786,20343543799
51,5/7/2020,9261.895508,9992.664063,9138.322266,9951.518555,61112700562,203.912857,214.392471,202.074844,212.289413,23594744655
52,5/8/2020,9936.162109,9996.743164,9767.172852,9842.666016,51780748042,212.198242,216.327682,208.830734,212.991577,20445139356
53,5/9/2020,9840.90625,9913.863281,9580.644531,9593.896484,46566121841,213.142166,214.73912,209.071518,211.600128,18950547549
54,5/10/2020,9591.168945,9595.581055,8395.107422,8756.430664,63325279337,211.5522,211.5522,182.711166,188.599564,25211575193
55,5/11/2020,8755.535156,9033.470703,8374.323242,8601.795898,57119858802,188.632187,191.362335,180.718338,185.912842,20054601647
56,5/12/2020,8610.385742,8949.898438,8569.643555,8804.477539,42142717533,185.877335,191.601349,185.701797,189.3125,15899726284
57,5/13/2020,8805.387695,9317.878906,8805.387695,9269.987305,45558144023,189.3741,200.197327,189.127701,199.193283,17054662289
58,5/14/2020,9271.329102,9793.268555,9255.035156,9733.72168,56426907637,198.89151,204.117599,196.86882,202.949097,20150524861
59,5/15/2020,9734.291016,9755.828125,9261.398438,9328.197266,48158802327,202.955399,203.566391,193.755676,195.622665,16602342092
60,5/16/2020,9333.240234,9564.205078,9260.694336,9377.013672,36164766408,195.613388,202.771194,194.501587,200.677124,15379081645
61,5/17/2020,9374.929688,9823.001953,9349.545898,9670.739258,40084250663,200.608871,209.160934,200.102798,207.158691,15470397303
62,5/18/2020,9675.695313,9906.030273,9570.359375,9726.575195,41827139896,207.179779,215.908463,207.10907,214.525055,17411566928
63,5/19/2020,9727.063477,9836.047852,9539.624023,9729.038086,39254288955,214.604935,214.604935,210.143051,213.451111,14346192779
64,5/20/2020,9725.329102,9804.793945,9447.201172,9522.981445,36546239703,213.446243,214.716827,207.975815,210.096741,12730175511
65,5/21/2020,9522.740234,9555.242188,8869.930664,9081.761719,39326160532,210.12915,211.625183,193.346436,199.883606,13308321229
66,5/22/2020,9080.334961,9232.936523,9008.638672,9182.577148,29810773699,199.837112,208.591537,198.040863,207.169189,12041592114
67,5/23/2020,9185.0625,9302.501953,9118.108398,9209.287109,27727866812,207.194489,210.386459,205.29422,208.694397,10665476768
68,5/24/2020,9212.283203,9288.404297,8787.250977,8790.368164,32518803300,208.716064,210.595078,202.370346,202.370346,11833299572
69,5/25/2020,8786.107422,8951.005859,8719.667969,8906.93457,31288157264,201.982651,206.36145,200.667557,205.319748,10415044124
70,5/26/2020,8909.585938,8991.967773,8757.293945,8835.052734,29584186947,205.259567,205.752548,200.264282,201.902313,10159741290
71,5/27/2020,8837.380859,9203.320313,8834.157227,9181.017578,32740536902,201.893005,208.863434,201.785065,208.863434,10631034756
72,5/28/2020,9184.945313,9546.319336,9148.457031,9525.750977,34367073114,208.885437,220.276505,206.242661,219.840424,12212469604
73,5/29/2020,9528.355469,9573.666992,9379.338867,9439.124023,32896642044,219.925049,224.216873,218.238052,220.675125,12265816557
74,5/30/2020,9438.914063,9704.030273,9366.729492,9700.414063,32722975141,220.717209,243.943146,218.744461,242.345596,15027397867
75,5/31/2020,9700.105469,9700.34375,9432.296875,9461.058594,27773290299,242.351379,244.045258,230.052826,230.975708,12234904813
76,6/1/2020,9463.605469,10199.56543,9450.899414,10167.26856,35198901068,230.86026,248.236282,230.488052,246.99176,13951727936
77,6/2/2020,10162.97363,10182.34082,9460.571289,9529.803711,39137252109,246.828186,252.222,233.225296,237.219055,13782107567
78,6/3/2020,9533.760742,9682.859375,9471.84668,9656.717773,25007459262,237.395218,244.179321,235.464447,244.179321,9861760817
79,6/4/2020,9655.854492,9887.610352,9525.24707,9800.636719,25921805072,244.105286,245.92897,236.765305,244.426392,10170414304
80,6/5/2020,9800.21582,9869.237305,9663.216797,9665.533203,23509628646,244.349594,247.329498,240.682053,241.221985,9293963914
81,6/6/2020,9664.904297,9773.431641,9591.024414,9653.679688,20438419222,241.201355,245.981049,239.724533,241.93132,8114873845
82,6/7/2020,9653.00293,9768.498047,9458.150391,9758.852539,25015250846,241.908081,245.435257,236.325256,245.167252,9544883157
83,6/8/2020,9760.063477,9782.306641,9675.885742,9771.489258,21486346312,245.178574,246.644196,241.542191,246.309906,8076783299
84,6/9/2020,9774.360352,9836.369141,9664.719727,9795.700195,23717842783,246.175018,248.342438,242.338547,244.911453,8446545788
85,6/10/2020,9794.119141,9908.896484,9728.291016,9870.094727,25706567601,244.822067,248.651154,242.819748,247.444946,8792990206
86,6/11/2020,9870.078125,9938.297852,9263.069336,9321.78125,30247143440,247.548538,249.888306,229.942978,231.702667,12356528860
87,6/12/2020,9320.69043,9540.46582,9285.851563,9480.84375,22610564515,231.625458,239.354691,229.645065,237.49321,8868955009
88,6/13/2020,9480.735352,9493.211914,9396.009766,9475.277344,17564322315,237.544617,239.1931,235.889679,238.908844,7141624980
89,6/14/2020,9477.553711,9482.270508,9347.59375,9386.788086,18991732746,238.968185,239.101456,232.958191,234.1147,7439385176
90,6/15/2020,9386.035156,9504.860352,8990.175781,9450.702148,26699704768,234.058304,234.237839,221.24176,229.928909,10536099884
91,6/16/2020,9454.266602,9579.430664,9400.445313,9538.024414,21565537209,229.762299,236.394302,228.426147,234.416168,7965648016
92,6/17/2020,9533.78418,9540.422852,9327.339844,9480.254883,20177709879,234.492371,235.954056,229.341644,233.028275,7701391592
93,6/18/2020,9481.567383,9482.782227,9328.395508,9411.84082,17770083003,232.898697,234.570648,228.951431,232.101166,6713800872
94,6/19/2020,9410.293945,9440.875977,9274.295898,9288.018555,19632223107,231.954971,232.154114,226.795181,227.13829,6946372590
95,6/20/2020,9290.959961,9394.97168,9247.379883,9332.34082,17130541557,226.976364,231.44902,226.640625,229.274261,6252830566
96,6/21/2020,9330.926758,9401.107422,9300.430664,9303.629883,15324301169,229.216141,232.358948,228.492996,228.989822,5600408178
97,6/22/2020,9300.915039,9655.073242,9296.87207,9648.717773,21104009514,229.003372,243.776016,228.934738,242.533188,9079586552
98,6/23/2020,9644.076172,9670.541016,9547.24707,9629.658203,17006433272,242.537018,244.86441,239.759735,244.142151,6624530348
99,6/24/2020,9632.149414,9680.367188,9278.233398,9313.610352,18961716076,244.185928,248.508026,232.807739,235.772461,8815030025
100,6/25/2020,9314.126953,9340.161133,9095.324219,9264.813477,18616048626,235.70285,236.053406,230.2966,232.944489,7010426122
101,6/26/2020,9260.995117,9310.516602,9101.738281,9162.917969,18341465837,232.877487,233.901932,229.25946,229.668045,7187490226
102,6/27/2020,9167.824219,9207.810547,8998.216797,9045.390625,17273093144,229.631485,232.493423,220.564575,222.959793,6918380955
103,6/28/2020,9048.460938,9197.546875,8975.525391,9143.582031,14560870760,222.91449,228.598282,219.472672,225.347168,6205925718
104,6/29/2020,9140.029297,9237.573242,9041.875977,9190.854492,16460547078,225.361435,229.903214,222.25499,228.19487,6726164653
105,6/30/2020,9185.581055,9217.835938,9084.837891,9137.993164,15735797744,227.96843,229.476807,224.815186,226.315002,6094093001
106,7/1/2020,9145.985352,9309.754883,9104.735352,9228.325195,15971550355,226.134583,232.756119,224.835739,231.113419,6463737443
107,7/2/2020,9231.139648,9274.962891,9036.623047,9123.410156,16338916796,231.28891,232.396881,225.46196,229.392197,6212210566
108,7/3/2020,9124.842773,9202.344727,9058.794922,9087.303711,13078970999,229.318954,229.629318,224.913971,225.38707,5109032700
109,7/4/2020,9084.233398,9183.295898,9053.629883,9132.488281,12290528515,225.288483,230.054138,225.133316,229.074112,5228310135
110,7/5/2020,9126.09082,9162.183594,8977.015625,9073.942383,12903406143,228.976196,229.85672,224.544495,227.664597,5292172429
111,7/6/2020,9072.849609,9375.474609,9058.664063,9375.474609,17889263252,227.685013,242.132706,227.029526,241.510223,8782917553
112,7/7/2020,9349.161133,9360.617188,9201.81543,9252.277344,13839652595,240.972595,242.681854,234.218658,239.075531,6441497597
113,7/8/2020,9253.020508,9450.335938,9249.5,9428.333008,19702359883,239.159973,248.308868,238.398376,246.670013,9892586411
114,7/9/2020,9427.994141,9431.378906,9234.999023,9277.967773,18000702524,246.748291,247.291672,239.898651,243.015961,8429099199
115,7/10/2020,9273.357422,9287.47168,9118.001953,9278.807617,16860035605,242.868011,242.883789,236.73053,240.984985,7281370522
116,7/11/2020,9277.511719,9293.532227,9199.485352,9240.34668,13249910444,241.044785,241.527481,238.331238,239.458176,5643067316
117,7/12/2020,9241.054688,9319.418945,9197.450195,9276.5,14452361907,239.459641,243.311142,237.770218,242.131699,6596394718
118,7/13/2020,9277.205078,9306.405273,9224.292969,9243.614258,17519821266,242.18187,244.310516,238.232376,239.604584,7787751468
119,7/14/2020,9238.703125,9283.841797,9171.661133,9243.213867,18085038362,239.975616,242.003784,237.796188,240.211487,7357458555
120,7/15/2020,9241.897461,9275.325195,9171.933594,9192.836914,15844731575,240.143646,241.402695,237.096176,238.423523,6189328448
121,7/16/2020,9191.980469,9214.3125,9088.947266,9132.227539,15713967523,238.450912,239.006256,231.62117,233.640884,5832057567
122,7/17/2020,9131.8125,9182.253906,9089.202148,9151.392578,13944570749,233.691391,234.41507,232.10997,232.773087,5859850529
123,7/18/2020,9151.183594,9230.983398,9100.824219,9159.040039,12252601475,232.855682,236.543976,232.32489,235.48381,5397402117
124,7/19/2020,9158.005859,9201.398438,9097.632813,9185.817383,12939002784,235.458298,239.16069,233.279739,238.487518,6251377305
125,7/20/2020,9187.220703,9214.270508,9137.509766,9164.231445,13755604146,238.494873,239.576248,234.852646,236.153168,5600686192
126,7/21/2020,9162.514648,9407.262695,9149.389648,9374.887695,18069581956,236.302505,246.186264,235.680969,245.016724,6806696015
127,7/22/2020,9375.080078,9530.518555,9319.65332,9525.363281,16532254884,245.037262,262.985046,242.484344,262.190643,7702077383
128,7/23/2020,9527.141602,9610.24707,9483.003906,9581.072266,18146399002,262.388641,277.583466,261.047089,274.689056,10281309262
129,7/24/2020,9585.514648,9623.336914,9481.454102,9536.892578,16552768325,274.722687,286.192841,269.239777,279.215424,9466060358
130,7/25/2020,9539.485352,9704.556641,9530.211914,9677.113281,16610070933,279.026367,306.740997,279.026367,304.056763,10785021813
131,7/26/2020,9680.234375,10023.80762,9652.847656,9905.166992,20507998997,303.692383,316.386322,300.267822,309.643616,12003973026
132,7/27/2020,9905.217773,11298.22168,9903.969727,10990.87305,35359749590,309.657928,330.701202,309.657928,321.514099,15644257058
133,7/28/2020,11017.46387,11204.32715,10632.63184,10912.82324,28766551142,321.829742,325.905975,307.721344,316.657257,12357108065
134,7/29/2020,10912.95313,11304.39746,10856.1416,11100.46777,24617249715,316.555359,324.380798,313.109589,318.190887,10878845706
135,7/30/2020,11099.83301,11169.35645,10895.45508,11111.21387,22857247901,318.144989,338.631195,315.751099,334.586639,11827689045
136,7/31/2020,11110.21094,11415.86426,10987.05371,11323.4668,23160469766,334.633728,348.611359,329.340942,345.554657,12030600492
137,8/1/2020,11322.57031,11794.77539,11239.68262,11759.59277,26075670303,345.798615,388.847961,343.587433,385.199707,14045259477
138,8/2/2020,11758.76465,12034.14453,11018.12988,11053.61426,27410067336,385.549866,411.228302,357.143646,370.671722,18909744275
139,8/3/2020,11043.76856,11453.0791,11012.41504,11246.34863,20271713443,371.13385,396.506989,369.336334,386.295166,12834648062
140,8/4/2020,11246.20313,11385.38184,11094.14551,11205.89258,21250197042,386.156464,400.700623,382.985107,389.875488,14086704221
141,8/5/2020,11203.82324,11786.61719,11158.28516,11747.02246,24411254471,389.710815,406.303955,386.218475,401.590576,12875466638
142,8/6/2020,11749.87109,11902.33594,11598.71387,11779.77344,23400740340,401.583862,403.488678,392.600189,394.961945,11304626458
143,8/7/2020,11778.89453,11898.03809,11408.59375,11601.47266,23132312867,395.226868,398.249023,367.935516,379.512848,12751687084
144,8/8/2020,11604.55371,11800.06445,11558.43164,11754.0459,17572057837,379.551575,393.987366,377.349731,393.987366,9342060531
145,8/9/2020,11737.3252,11806.05664,11548.78418,11675.73926,17489608833,395.305237,399.737091,385.830719,391.120453,9451065592
146,8/10/2020,11662.25684,12045.14063,11662.25684,11878.11133,26114112569,391.041504,399.375946,391.041504,395.887573,11685827893
147,8/11/2020,11881.64746,11932.71094,11195.70898,11410.52539,27039782640,395.894714,398.478912,370.860626,380.384064,12792218737
148,8/12/2020,11404.59668,11748.39648,11249.60547,11584.93457,25064548486,380.063812,391.312317,367.923615,391.02417,12408772745
149,8/13/2020,11588.40527,11796.39648,11216.87207,11784.1377,27522199497,390.838104,432.904602,379.710876,428.741791,18480303526
150,8/14/2020,11772.65918,12150.99414,11685.45508,11768.87109,24237958589,428.677277,444.577759,423.345856,437.397827,15064589987
151,8/15/2020,11768.69727,11963.20313,11768.69727,11865.69824,23354924400,437.562988,441.754608,429.874603,433.354919,12416067894
152,8/16/2020,11866.68555,11934.90137,11737.18848,11892.80371,20583375490,433.350586,436.265839,415.086243,433.786621,12168816874
153,8/17/2020,11895.6582,12359.05664,11806.69629,12254.40234,28227687027,433.973755,442.734985,422.647278,429.53125,13227089410
154,8/18/2020,12251.89551,12335.70703,11954.52539,11991.2334,26043227672,429.669617,432.580292,419.674103,423.669312,11978984079
