Date,BTC,ETH
2020-08-10,11878.111328,395.887573
2020-08-11,11410.525391,380.384064
2020-08-12,11584.93457,391.02417
2020-08-13,11784.137695,428.74179100000003
2020-08-14,11768.871094,437.39782699999995
2020-08-15,11865.698242,433.35491900000005
2020-08-16,11892.803711,433.78662099999997
2020-08-17,12254.402344,429.53125
2020-08-18,11991.233398,423.669312
2020-08-19,11758.283203,406.463776
2020-08-20,11878.37207,416.439789
2020-08-21,11592.489258,389.126343
2020-08-22,11681.825195,395.835144
2020-08-23,11664.847656,391.384491
2020-08-24,11774.595703,408.144196
2020-08-25,11366.134766,384.001038
2020-08-26,11488.363281,386.466125
2020-08-27,11323.397461,382.632629
2020-08-28,11542.5,395.874664
2020-08-29,11506.865234,399.921478
2020-08-30,11711.505859,428.395721
2020-08-31,11680.820313,435.079742
2020-09-01,11970.478516,477.05190999999996
2020-09-02,11414.03418,440.04049699999996
2020-09-03,10245.296875,385.67193599999996
2020-09-04,10511.813477,388.24115
2020-09-05,10169.567383,335.260071
2020-09-06,10280.351563,353.362274
2020-09-07,10369.563477,352.673492
2020-09-08,10131.516602,337.60211200000003
2020-09-09,10242.347656,351.11001600000003
2020-09-10,10363.138672,368.101898
2020-09-11,10400.915039,374.695587
2020-09-12,10442.170898,387.18310499999995
2020-09-13,10323.755859,365.570007
2020-09-14,10680.837891,377.26886
2020-09-15,10796.951172,364.839203
2020-09-16,10974.905273,365.812286
2020-09-17,10948.990234,389.019226
2020-09-18,10944.585938,384.364532
2020-09-19,11094.34668,385.544373
2020-09-20,10938.271484,371.052826
2020-09-21,10462.259766,341.78607200000005
2020-09-22,10538.459961,344.503174
2020-09-23,10225.864258,320.58554100000003
2020-09-24,10745.548828,349.356659
2020-09-25,10702.290039,352.161865
2020-09-26,10754.4375,354.965271
2020-09-27,10774.426758,357.321686
2020-09-28,10721.327148,354.9505
2020-09-29,10848.830078,359.963409
2020-09-30,10787.618164,360.02236899999997
2020-10-01,10623.330078,353.231293
2020-10-02,10585.164063,346.532654
2020-10-03,10565.493164,347.321594
2020-10-04,10684.428711,353.121918
2020-10-05,10804.000977,354.2771
2020-10-06,10621.664063,341.02114900000004
2020-10-07,10679.136719,342.119781
2020-10-08,10923.62793,351.455658
2020-10-09,,
2020-10-10,11296.361328,370.96759
2020-10-11,11384.181641,375.14205899999996
2020-10-12,,
2020-10-13,,
2020-10-14,11429.506836,379.484039
2020-10-15,11495.349609,377.44183300000003
2020-10-16,11322.123047,366.22900400000003
2020-10-17,11358.101563,368.855927
2020-10-18,11483.359375,378.213684
2020-10-19,11742.037109,379.935608
2020-10-20,11916.334961,369.136902
2020-10-21,12823.689453,392.189972
2020-10-22,12965.891602,413.77297999999996
2020-10-23,12931.539063,409.76669300000003
2020-10-24,13108.0625,412.457611
2020-10-25,13031.173828,406.217773
2020-10-26,13075.248047,393.888306
2020-10-27,13654.21875,403.99703999999997
2020-10-28,13271.285156,388.650757
2020-10-29,13437.882813,386.730103
2020-10-30,13546.522461000002,382.819977
2020-10-31,13780.995116999999,386.590332
2020-11-01,13737.109375,396.358185
2020-11-02,13550.489258000001,383.15673799999996
2020-11-03,13950.300781,387.602173
2020-11-04,14133.707031,402.141998
2020-11-05,15579.848633000001,414.067352
2020-11-06,15565.880859,454.71929900000003
2020-11-07,14833.753906,435.71313499999997
2020-11-08,15479.567383000001,453.554779
2020-11-09,15332.31543,444.163055
2020-11-10,15290.902344,449.679626
2020-11-11,15701.339844,462.96054100000003
2020-11-12,16276.34375,461.00527999999997
2020-11-13,16317.808594,474.62643399999996
2020-11-14,16068.138672,460.14984100000004
2020-11-15,15955.587891,447.55908200000005
2020-11-16,16716.111328,459.940308
2020-11-17,17645.40625,480.36007699999993
2020-11-18,17804.005859,479.48407000000003
2020-11-19,17817.089844,471.63043200000004
2020-11-20,18621.314453,509.74456799999996
2020-11-21,18642.232422,549.486633
2020-11-22,18370.001953,558.068115
2020-11-23,18364.121094,608.454041
